제목,저자,역자,출간일,페이지,정가,판가,마일리지
하루 한 장 초등과학 365,치바 가즈요시 ," 허영은 , 유우종 (감수) ",20211214,416,19800,17820,990
"다시, 배우다",폴 김 ,--,20211210,304,16000,14400,800
당당한 디자인 결정을 위한 9가지 방법,톰 그리버 ," 김민성 , 곽서희 ",20211210,376,22000,19800,1100
365 부모 말하기 연습 일력(스프링북),"박재연 , 공인영 ",--,20211201,384,18000,16200,900
공학도를 위한 수치해석(8판),"Steven C.Chapra , Raymond P. Canale "," 나양 , 이승배 , 임윤철 ",20211130,600,36000,36000,1080
엑셀 매크로&VBA 업무 공략집,최준선 ,--,20211130,328,22000,19800,1100
데이터 과학자 되는 법,"에밀리 로빈슨 , 재클린 놀리스 ", 이창화 ,20211126,372,24000,21600,1200
돈 되는 기획,김도균 ,--,20211126,240,14500,13050,725
빠르게 찾아 바로 적용하는 엑셀 에센스 사전 100,한은숙 ,--,20211125,300,18000,16200,900
초등 어휘력이 공부력이다,박명선 ,--,20211125,412,18000,16200,900
만화로 배우는 의학의 역사(개정판),"장 노엘 파비아니 , 필리프 베르코비치 , 김모 , 조한나 ", --,20211115,296,20800,18720,1040
"스토리텔링 우동이즘의 잘 팔리는 웹툰, 웹소설 이야기 만들기",우동이즘(이동우) ,--,20211115,232,16000,14400,800
중학교 입학 가이드,배혜림 ,--,20211111,376,16500,14850,825
보고서 작성 실무 강의(개정판),홍장표 , --,20211108,400,18000,16200,900
비겁한 돈,"황현희 , 제갈현열 ",--,20211108,248,16000,14400,800
나도 영문 손글씨 잘 쓰면 소원이 없겠네,윤정희(리제 캘리그라피) ,--,20211105,240,16800,15120,840
구글 BERT의 정석,수다르산 라비찬디란 ," 전희원 , 정승환 , 김형준 ",20211103,368,34000,30600,1700
1000개 숨은그림찾기 몬스터 : 찾아도 찾아도 끝판왕,김확실 ,--,20211102,96,8000,7200,400
1000개 숨은그림찾기 보물찾기 : 찾아도 찾아도 끝판왕,전진희 ,--,20211102,96,8000,7200,400
1000개 숨은그림찾기 탈것 : 찾아도 찾아도 끝판왕,이한이 ,--,20211102,96,8000,7200,400
UX/UI 디자이너를 위한 실무 피그마,클레어 정 ,--,20211101,352,24000,21600,1200
머신러닝 디자인 패턴,"발리아파 락슈마난 , 세라 로빈슨 , 마이클 먼 "," 맹윤호 , 임지순 ",20211101,460,38000,34200,1900
소프트웨어 아키텍처 101,"마크 리처즈 , 닐 포드 ", 이일웅 ,20211101,472,32000,28800,1600
혼자 공부하는 SQL,우재남 ,--,20211101,444,24000,21600,1200
"IT CookBook, 그림으로 배우고 실생활 예제로 실습하는 자바를 부탁해",박세홍(홍팍) ,--,20211029,556,26000,26000,780
온톨로지 과학자를 위한 지식그래프,"딘 알레망 , 제임스 핸들러 , 파비엔 갠던 ", 김학래 ,20211029,544,45000,45000,1350
똑똑한 두뇌 연습 : 놀이공원 미로찾기,권나영 ,--,20211028,76,7500,6750,375
한 권으로 다지는 머신러닝&딥러닝 with 파이썬,"알베르토 아르타산체스 , 프라틱 조시 ", 여인춘 ,20211021,680,40000,36000,2000
"IT CookBook, 시스템 프로그래밍: 리눅스&유닉스",이종원 ,--,20211015,552,28000,28000,840
살아 움직이는 머신러닝 파이프라인 설계,"하네스 하프케 , 캐서린 넬슨 ", 송호연 ,20211011,416,32000,28800,1600
그로킹 심층 강화학습,미겔 모랄레스 , 강찬석 ,20211010,500,35000,31500,1750
시험장에 몰래 가져갈  이경오의 SQL+SQLD 비밀노트,이경오 ,--,20211010,556,32000,28800,1600
1000개 숨은그림찾기 바다 동물,이한이 ,--,20211008,96,8000,7200,400
1000개 숨은그림찾기 아이스크림,김확실 ,--,20211008,96,8000,7200,400
심리 읽어드립니다,"김경일 , 사피엔스 스튜디오 ",--,20211008,332,17500,15750,875
한번에 적용하는 분석,히든그레이스 데이터분석팀 ,--,20211008,356,24000,24000,720
탐험! 숲체험 생물 도감,이치니치 잇슈 , 박현숙 ,20211006,132,13000,11700,650
깍두기 가계부 2022,쓰담여사 ,--,20211001,192,14800,13320,740
미국 주식으로 시작하는 슬기로운 퀀트투자,"김용환 , Yubin Kim ",--,20210930,416,32000,28800,1600
제대로 배우는 수학적 최적화,우메타니 슌지 , 김모세 ,20210930,424,38000,34200,1900
"1년에 5,000만 원 버는 수익 확장 노하우 네이버 블로그로 돈 벌기",김동석 ,--,20210928,312,16000,14400,800
디자인 1등 유튜버 존코바의 클릭을 유도하는 유튜브 디자인 with 포토샵,존코바(이요한) ,--,20210927,348,19800,17820,990
핸즈온 해킹,"매슈 히키 , 제니퍼 아커리 ", 류광 ,20210927,776,45000,40500,2250
정리 잘하는 사람은 이렇게 합니다,고메다 마리나 , 박연정 ,20210917,208,15000,13500,750
두 발로 선 경제,이용우 ,--,20210910,468,23000,20700,1150
인공지능 논리 입문,이은정 ,--,20210910,260,22000,22000,660
머신러닝 파워드 애플리케이션,에마뉘엘 아메장 , 박해선 ,20210906,304,27000,24300,1350
유튜브 마케팅 인사이트,서양수 ,--,20210903,280,16500,14850,825
웹 브라우저 속 머신러닝 TensorFlow.js,카이 사사키 , 유수연 ,20210901,312,25000,22500,1250
"IT CookBook, 처음 만나는 전기기기(2판)","최은혁 , 박숭규 ", --,20210831,328,24000,24000,720
모바일 UX/UI 디자인 강의 with Adobe XD,김영삼 ,--,20210830,404,26000,23400,1300
인문학 거저보기 : 서양철학 편,지하늘 ,--,20210830,380,18500,16650,925
처음 배우는 플라스크 웹 프로그래밍,윤정현 ,--,20210830,260,19800,17820,990
"IT CookBook, 현대 센서공학(5판)",Jacob Fraden ," 김윤 , 김혁 , 박동욱 ",20210827,688,35000,35000,1050
방구석 심리학 실험실,마이클 A. 브릿 , 류초롱 ,20210825,388,18000,16200,900
"IT CookBook, 모바일 웹 서비스 구현을 위한 JSP 웹 프로그래밍","김현규 , 박유현 ",--,20210823,660,30000,30000,900
혼자서도 척척 접는 종이접기,신구 후미아키 ,--,20210823,96,9800,8820,490
혼자서도 척척 접는 종이접기 2권 세트,신구 후미아키 ,--,20210823,192,15000,13500,750
혼자서도 척척 접는 종이접기 플러스,신구 후미아키 ,--,20210823,96,9800,8820,490
스파크를 이용한 자연어 처리,앨릭스 토머스 , 이창현 ,20210820,440,34000,30600,1700
어른을 위한 두뇌 놀이 책,개러스 무어 박사 ,--,20210820,112,9900,8910,495
클라우드 네이티브를 위한 데이터 센터 네트워크 구축,디네시 G. 더트 , 정기훈 ,20210820,564,36000,32400,1800
감으로만 일하던 김 팀장은 어떻게 데이터 좀 아는 팀장이 되었나,"황보현우 , 김철수 ",--,20210816,336,17800,16020,890
미래조직을 위한 조직설계의 이해(4판),"현선해 , 최세경 , 서문교 ",--,20210813,292,22000,22000,660
쉽게 배우고 익히는 회계원리(4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선 ",--,20210813,568,30000,30000,900
쉽게 배우고 익히는 회계원리[객관식/학습문제 해답](4판),"정용기 , 김선미 , 임영제 , 신영직 , 유지선 ",--,20210813,160,7000,7000,210
fastai와 파이토치가 만나 꽃피운 딥러닝,"제러미 하워드 , 실뱅 거거 "," 박찬성 , 김지은 ",20210810,720,44000,39600,2200
"IT CookBook, 짧고 굵게 배우는 JSP 웹 프로그래밍과 스프링 프레임워크",황희정 ,--,20210809,472,27000,27000,810
스케치업 & V-Ray 트레이닝 북(개정판),강석창 , --,20210809,496,28000,25200,1400
생각과 말로 글을 늘리는 초등 10분 글쓰기,강근영 ,--,20210807,324,15800,14220,790
데이터베이스 시스템(7판),"Abraham Silberschatz , Henry F. Korth , S. Sudarshan "," 정연돈 , 권준호 , 김종욱 , 서영균 , 이동호 ",20210805,1248,45000,45000,1350
만들면서 배우는 파이토치 딥러닝,오가와 유타로 , 박광수(아크몬드) ,20210805,544,40000,36000,2000
눈 떠보니 선진국,박태웅 ,--,20210801,228,16500,14850,825
실리콘밸리 리더십,마이클 롭 , 김정혜 ,20210801,368,22000,19800,1100
처음 시작하는 마이크로서비스,"로니 미트라 , 이라클리 나다레이슈빌리 ",--,20210801,344,27000,24300,1350
텐서플로 라이트를 활용한 안드로이드 딥러닝,임태규 ,--,20210801,368,27000,24300,1350
회사에서 바로 통하는  오토캐드 AutoCAD 2022,심미현 , --,20210728,664,28000,25200,1400
5리터의 피,로즈 조지 , 김정아 ,20210727,492,25000,22500,1250
미국주식 스팩투자법,리차드(이명진) ,--,20210726,280,18500,16650,925
재미있고 빠른 숫자 쓰기 1권 : 0부터 50까지,한빛학습연구회 ,--,20210726,88,7500,6750,375
재미있고 빠른 숫자 쓰기 2권 : 0부터 100까지,한빛학습연구회 ,--,20210726,96,7500,6750,375
재미있고 빠른 알파벳 쓰기,한빛학습연구회 ,--,20210726,88,7500,6750,375
비즈니스 애널리틱스,"Sanjiv Jaggia , Alison Kelly , Kevin Lertwachara , Leida Chen "," 장혜정 , 이상규 , 오세환 , 변종복 ",20210720,704,38000,38000,1140
이기적이라 살아남았습니다,이마이즈미 다다아키 ," 김지연 , 이정모(감수) ",20210720,176,13800,12420,690
스벨트 앤 새퍼 인 액션,마크 볼크먼 , 박수현 ,20210719,580,38000,34200,1900
"STEM CookBook, 문제 해결력을 키우는 정역학",오충석 ,--,20210716,460,30000,30000,900
최신 관리회계,"정재권 , 서한결 , 곽종민 ",--,20210710,460,28000,28000,840
리눅스 입문자를 위한 명령어 사전,"가와구치 히로시 , 다야 후미히코 , 미사와 아키라 ", 서수환 ,20210707,456,32000,28800,1600
파타고니아 이야기,이본 쉬나드 , 추선영 ,20210707,584,55000,49500,2750
"풀스택 서버리스 :  리액트, AWS, 그래프QL을 이용한 최신 애플리케이션 개발",네이더 다빗 , 김범준 ,20210705,216,21000,18900,1050
한 권으로 배우는 작고 예쁜 꽃자수,장미나(미나랜드) ,--,20210705,240,18000,16200,900
"IT CookBook, 처음 만나는 회로이론(2판)",방성완 , --,20210702,400,23000,23000,690
안전필수 시스템 제어 설계,"김국헌 , 김태효 , 이성섭 ",--,20210702,488,38000,38000,1140
데이터 스토리,낸시 두아르테 ," 권혜정 , 윤영진(감수) ",20210701,240,22000,19800,1100
러닝 리액트(2판),"알렉스 뱅크스 , 이브 포셀로 ",--,20210701,396,28000,25200,1400
상식의 재구성,조선희 ,--,20210701,560,22000,19800,1100
업무에 바로 쓰는 SQL 튜닝,양바른 ,--,20210701,296,22000,19800,1100
"IT CookBook, C로 배우는 쉬운 자료구조(4판)",이지영 , --,20210630,624,29000,29000,870
"IT CookBook, 디지털 콘텐츠 기획(2판)",김성은 , --,20210630,548,30000,30000,900
"IT CookBook, 쉽게 배우는 소프트웨어 공학(2판)",김치수 , --,20210630,560,30000,30000,900
"IT CookBook, 컴퓨터 구조와 원리 3.0",신종홍 ,--,20210630,580,29000,29000,870
찾아도 찾아도 끝판왕 1000개 숨은그림찾기 숲속 놀이터,클레어 스탬퍼 ,--,20210630,96,8000,7200,400
찾아도 찾아도 끝판왕 1000개 숨은그림찾기 우리 동네,자나 컬 ,--,20210630,96,8000,7200,400
처음 배우는 네트워크 보안,장상근(맥스) ,--,20210630,324,28000,25200,1400
"IT CookBook, 난생처음 파이썬 프로그래밍","우재남 , 최민아 ",--,20210628,428,24000,24000,720
"IT CookBook, 정보 보안 개론(4판)",양대일 , --,20210628,568,30000,30000,900
"IT CookBook, 최신 기술 동향으로 알아보는 ICT와 4차 산업혁명","김용태 , 정윤수 , 박길철 ",--,20210628,472,24000,24000,720
"STEM CookBook, 한 걸음씩 알아가는 선형대수학",Kuldeep Singh , 한빛수학교재연구소 ,20210628,580,32000,32000,960
"STEM CookBook, 해석학 첫걸음",스티븐 애벗(Stephen Abbott) ," 한빛수학교재연구소 , 김세익(감수) ",20210628,384,26000,26000,780
초보 판매자가 빅파워셀러로 거듭나는 네이버 스마트스토어 마케팅 시작하기,정진수 ,--,20210628,252,17800,16020,890
게임세대 내 아이와 소통하는 법,이장주 ,--,20210625,272,16000,14400,800
세상에서 제일 친절한 엑셀(개정판),박재영 ,--,20210625,364,18000,16200,900
"IT CookBook, 익스플로링 아두이노(2판)",JEREMY BLUM , 허경용 ,20210621,480,32000,32000,960
고개를 끄덕이는 것만으로도 위로가 되니까,문지애 ,--,20210621,248,15000,13500,750
"IT CookBook, 난생처음 인공지능 입문",서지영 ,--,20210618,428,25000,25000,750
제대로 작성하는 논문 : 시작부터 마무리까지,"노경섭 , 김정욱 ",--,20210614,288,20000,20000,600
회사에서 바로 통하는 실무 엑셀 함수&수식 - 모든 버전용,"김경자 , 송선영 ",--,20210611,448,24000,21600,1200
수학이 외계어처럼 들리는 이공계생을 위한 제로 수학,"김우섭(소동) , 강민범 ",--,20210610,416,22000,22000,660
지리의 쓸모,전국지리교사모임 ,--,20210610,360,18800,16920,940
"STEM CookBook, 기초 선형대수학(2판)","이광연 , 설한국 , 김진수 ", --,20210607,440,26000,26000,780
"STEM CookBook, 이공계생을 위한 확률과 통계(2판)","안승철 , 이광연 , 박기섭 ",--,20210607,448,25000,25000,750
개발자에서 아키텍트로,마이클 킬링 , 김영재 ,20210607,392,27000,24300,1350
머신러닝을 활용한 웹 최적화,이쓰카 슈헤이 , 김연수 ,20210607,340,34000,30600,1700
파이썬으로 살펴보는 아키텍처 패턴,"해리 퍼시벌 , 밥 그레고리 ", 오현석 ,20210603,356,32000,28800,1600
NGINX 쿡북,데릭 디용기 , 노승헌 ,20210601,236,20000,18000,1000
리얼 국내여행 [2021~2022년 최신판],배나영 ,--,20210601,428,18000,16200,900
리얼 제주 [2021~2022년 최신판],"김태연(제주레이) , 양정임(제주규리) ", --,20210601,352,17000,15300,850
린 AI,로밋 파텔 ," 박기석 , 최은정 ",20210601,260,18000,16200,900
지금 당장 회계공부 시작하라(전면개정판),"강대준 , 신홍철 ", --,20210601,424,19800,17820,990
파이토치로 배우는 자연어 처리,"델립 라오 , 브라이언 맥머핸 ", 박해선 ,20210601,296,26000,23400,1300
"IT CookBook,  문제해결을 위한 컴퓨팅 사고와 파이썬",김지연 ,--,20210531,432,24000,24000,720
보고서 발표 실무 강의 - 잘 쓰고 제대로 전달하는 보고의 기술,채종서 ,--,20210531,232,18000,16200,900
만화로 배우는 서양사 중세 3,"올리비에 보비노 , 파스칼 마냐 ", 이정은 ,20210528,168,18500,16650,925
소문난 명강의 : 오준석의 플러터 생존코딩(개정판),오준석 , --,20210528,340,28000,25200,1400
"IT CookBook, 컴퓨터 활용과 실습 2019","김경희 , 김혜란 ",--,20210524,572,25000,25000,750
재미있고 빠른 첫 한글 쓰기 2권 : 가나다 글자,한빛학습연구회 ,--,20210520,80,6500,5850,325
재미있고 빠른 첫 한글 준비 선 긋기 2권 : 글자 모양 따라 긋기,한빛학습연구회 ,--,20210520,64,6000,5400,300
테슬라 웨이,미카엘 발랑탱 , 오웅석 ,20210520,268,17500,15750,875
모던 자바스크립트 핵심 가이드,알베르토 몬탈레시 ," 임지순 , 권영재 ",20210514,284,19800,17820,990
고성능 파이썬(2판),"미샤 고렐릭 , 이안 오스발트 ",--,20210510,528,36000,32400,1800
"데이터가 뛰어노는 AI 놀이터, 캐글","가도와키 다이스케 , 사카타 류지 , 호사카 게이스케 , 히라마쓰 유지 ", 대니얼WJ ,20210510,428,35000,31500,1750
데이터 과학을 위한 통계(2판),"피터 브루스 , 앤드루 브루스 , 피터 게데크 ",--,20210507,380,34000,30600,1700
"일잘러의 비밀, 구글 스프레드시트 제대로 파헤치기",강남석 ,--,20210507,492,28000,25200,1400
부동산 세금 사용설명서,"김성일 , 우승일(감리) ",--,20210503,208,12000,10800,600
소문난 명강의 : 김상형의 SQL 정복,김상형 ,--,20210501,708,39000,35100,1950
이벤트 기반 마이크로서비스 구축,애덤 벨메어 , 이일웅 ,20210501,380,28000,25200,1400
파이썬 비동기 라이브러리 Asyncio,케일럽 해팅 , 동동구 ,20210501,176,18000,16200,900
한 권으로 끝내는 Node & Express(2판),이선 브라운 ,--,20210501,448,28000,25200,1400
나는 독이 되는 관계를 끝내기로 했다,마리옹 블리크 , 조민영 ,20210430,332,15500,13950,775
맛있는 디자인 어도비 XD CC,임선주 ,--,20210430,364,24000,21600,1200
엑셀 데이터 분석 바이블,최준선 ,--,20210430,712,38000,34200,1900
읽는 순간 웃음이 팡! 낱말 퍼즐의 신,"한빛학습연구회 , 네모펜스튜디오(그림) ",--,20210430,120,9800,8820,490
읽는 순간 웃음이 팡! 속담의 신,"한빛학습연구회 , 네모펜스튜디오(그림) ",--,20210430,152,11000,9900,550
읽는 순간 웃음이 팡! 수수께끼의 신,"한빛학습연구회 , 네모펜스튜디오(그림) ",--,20210430,152,11000,9900,550
쿼커스 쿡북,"알렉스 소토 부에노 , 제이슨 포터 ", 유동환 ,20210428,460,35000,31500,1750
1년 후 내가 이 세상에 없다면,시미즈 켄 , 박소영 ,20210423,200,13800,12420,690
중세 1 : 만화로 배우는 서양사,"플로리앙 마젤 , 뱅상 소렐(그림) ", 이하임 ,20210423,168,18500,16650,925
중세 2 : 만화로 배우는 서양사,"파니 마들린 , 다니엘 카사나브(그림) ", 김수영 ,20210423,168,18500,16650,925
누워서 읽는 통계학,"와쿠이 요시유키 , 와쿠이 사다미 ", 권기태 ,20210409,388,19800,19800,594
실전 시계열 분석,에일린 닐슨 , 박찬성 ,20210409,568,38000,34200,1900
우리가 시를 처음 쓴다면 그건 분명 윤동주일 거야: 『하늘과 바람과 별과 시』 필사,"윤동주 , 유한빈(펜크래프트) , 콰야 ",--,20210405,196,13800,12420,690
젠더 모자이크,"다프나 조엘 , 루바 비칸스키 ", 김혜림 ,20210405,264,16500,14850,825
나 아직 안 죽었다,김재완 ,--,20210402,232,14500,13050,725
스파크를 활용한 실시간 처리,"제러드 마스 , 프랑수아 가릴로 ", 김인범 ,20210402,472,38000,34200,1900
게임 엔진 블랙 북 : 둠,파비앙 상글라르 , 박재호 ,20210401,472,42000,37800,2100
만만한 통계 : R 활용,"닐 J. 샐카인드 , 레슬리 A. 쇼 ", 김재경 ,20210401,500,28000,28000,840
러닝 SQL,앨런 볼리외 ," 류수미 , 송희정 ",20210330,456,30000,27000,1500
이야기로 배우는 구글 빅쿼리,"구도 마사토 , 스즈키 다쓰히코 , 우에노야마 아키라 , 다카기 도모하루 ", 정인식 ,20210330,256,20000,18000,1000
저는 심리학이 처음인데요(개정판),강현식 , --,20210330,454,18000,16200,900
저는 인문학이 처음인데요(개정판),박홍순 , --,20210330,478,18000,16200,900
쓰면서 익히는 알고리즘과 자료구조,윤대석 ,--,20210329,388,26000,23400,1300
오늘부터 달리기를 합니다,이진이(지니코치) ,--,20210325,152,14800,13320,740
찾아도 찾아도 끝판왕 집중력 미로찾기 101,매튜 스캇 ,--,20210325,104,8000,7200,400
찾아도 찾아도 끝판왕 창의력 미로찾기 101,록리지 프레스 ,--,20210325,104,8000,7200,400
몽고DB 완벽 가이드(3판),"크리스티나 초도로우 , 섀넌 브래드쇼 , 오언 브라질 ", 김인범 ,20210322,600,36000,32400,1800
어린이를 위한 초등 자기주도 공부법×배움공책,"이은경 , 이성종 ",--,20210320,188,14800,13320,740
기술의 시대,"브래드 스미스 , 캐럴 앤 브라운 ", 이지연 ,20210315,544,25000,22500,1250
맛있는 디자인 프리미어 프로 CC 2021,"정지원 , 심수진 , 윤성우 , 김덕영 ",--,20210312,484,24000,21600,1200
GAN 첫걸음,타리크 라시드 , 고락윤 ,20210310,280,25000,22500,1250
디노 첫걸음,페르난도 돌리오 , 우정은 ,20210310,160,17000,15300,850
맛있는 디자인 일러스트레이터 CC 2021,빨간고래(박정아) ,--,20210309,504,24000,21600,1200
4차 산업혁명 시대를 위한 e-비즈니스 개론(4판),이동훈 ,--,20210307,512,27000,27000,810
사실은 사랑받고 싶었어,"박재연 , 박성혜(그림) ",--,20210305,244,14800,13320,740
한글처럼 쉬운 중국어,"김원재 , 강은주 ",--,20210305,156,18000,18000,540
회계원리,"이기호 , 이정엽 , 전홍준 ",--,20210305,332,23000,23000,690
대한민국 부동산 미래지도,김학렬(빠숑) ,--,20210304,704,33500,30150,1675
맛있는 디자인 애프터 이펙트 CC 2021,이수정 ,--,20210303,500,24000,21600,1200
맛있는 디자인 포토샵 CC 2021,"윤이사라(포완카) , 김신애 ",--,20210303,448,21000,18900,1050
상위 1% 아이가 하고 있는 서울대 아빠식 문해력 독서법,"이재익 , 김훈종 ",--,20210302,388,16800,15120,840
이것이 안드로이드다 with 코틀린(개정판),고돈호 , --,20210302,768,34000,30600,1700
친절한 딥러닝 수학,다테이시 겐고 , 김형민 ,20210302,356,28000,25200,1400
누구 먼저 살려야 할까,제이콥 M. 애펠 , 김정아 ,20210228,396,17800,16020,890
모션 그래픽&영상 디자인 강의 with 애프터 이펙트(10년차 디자이너에게 1:1로 배우는),장유민 ,--,20210225,344,26000,23400,1300
알기쉬운 회계원리의 기초(3판),"김혁 , 윤승준 , 이원강 ",--,20210225,404,26000,26000,780
최신 원가회계,"정재권 , 서한결 , 곽종민 ",--,20210225,444,28000,28000,840
"IT CookBook, C 언어 일취월장(2판)",신윤환 , --,20210224,800,28000,28000,840
소비자행동,김학윤 ,--,20210223,660,35000,35000,1050
재미있고 빠른 어휘력 동화 – 두근두근 이 마음은 뭘까,"김세실 , 김도윤(그림) ",--,20210220,104,12000,10800,600
재미있고 빠른 어휘력 동화 – 키득키득 재밌는 의성어 의태어,"김예실 , 김희선(그림) ",--,20210220,104,12000,10800,600
웹 애플리케이션 보안,앤드루 호프먼 , 최용 ,20210219,372,30000,27000,1500
